Spatial Dimension,ParentLocationCode,Continent,Has Chronic Respiratory Disease Guidelines?,Country Code,Has Cancer Guidelines?,Has Diabetes Guidelines?,Has Cardiovascular Disease Guidelines?
Madagascar,AFR,Africa,Yes,MDG,Yes,Yes,Yes
Egypt,EMR,Eastern Mediterranean,Yes,EGY,Yes,Yes,Yes
Angola,AFR,Africa,No,AGO,No,No,No
Indonesia,SEAR,South-East Asia,Yes,IDN,Yes,Yes,Yes
Nauru,WPR,Western Pacific,No,NRU,No,Yes,Yes
Solomon Islands,WPR,Western Pacific,No,SLB,Yes,Yes,Yes
Azerbaijan,EUR,Europe,Yes,AZE,Yes,Yes,Yes
Slovenia,EUR,Europe,Yes,SVN,Yes,Yes,Yes
Benin,AFR,Africa,Yes,BEN,Yes,Yes,Yes
Senegal,AFR,Africa,Yes,SEN,Yes,Yes,Yes
United Kingdom of Great Britain and Northern Ireland (the),EUR,Europe,Yes,GBR,Yes,Yes,Yes
Russian Federation (the),EUR,Europe,Yes,RUS,Yes,Yes,Yes
Saint Lucia,AMR,Americas,Yes,LCA,Yes,Yes,Yes
Lithuania,EUR,Europe,Yes,LTU,Yes,Yes,Yes
Uganda,AFR,Africa,Yes,UGA,Yes,Yes,Yes
Lebanon,EMR,Eastern Mediterranean,Yes,LBN,Yes,Yes,Yes
Barbados,AMR,Americas,No,BRB,Yes,No,Yes
Myanmar,SEAR,South-East Asia,Yes,MMR,Yes,Yes,Yes
Spain,EUR,Europe,Yes,ESP,Yes,Yes,Yes
Paraguay,AMR,Americas,Yes,PRY,Yes,Yes,Yes
Lao People's Democratic Republic (the),WPR,Western Pacific,No,LAO,Yes,Yes,Yes
Sudan (the),EMR,Eastern Mediterranean,Yes,SDN,Yes,Yes,Yes
Nicaragua,AMR,Americas,Yes,NIC,Yes,Yes,Yes
Zimbabwe,AFR,Africa,No,ZWE,Yes,Yes,Yes
Viet Nam,WPR,Western Pacific,Yes,VNM,Yes,Yes,Yes
United Arab Emirates (the),EMR,Eastern Mediterranean,Yes,ARE,Yes,Yes,Yes
Vanuatu,WPR,Western Pacific,Yes,VUT,Yes,Yes,Yes
Guatemala,AMR,Americas,Yes,GTM,Yes,Yes,Yes
